Title,Address,Headline Room Type,Cost (AUD),Review Score,# of Reviews
West End Motor Lodge,Orange,Three-Bedroom House - Telford House,399,8.2,1042
Quest Wollongong,Wollongong,One-Bedroom Apartment,399,8.5,217
Beau Cabin One Bedroom Cabin on Golf Course,Kangaroo Valley,Holiday Home,399,7.4,24
"Sydney Stay - 5 Bedroom with AC, Study and TVs",West Hoxton,Five-Bedroom House,400,8.8,59
Foxglove Gardens,Tilba Tilba,One-Bedroom Apartment,400,N/A,N/A
Sapphire Chambre B&B,Sapphire Beach,Deluxe Double Room with Shower,400,9.3,148
Macleay Hotel,"Potts Point, Sydney",Studio with District View,400,8.4,2899
The Homestead,Berry,Deluxe King Studio,400,9.2,124
Summer East Apartments,Orange,Double or Twin Studio,400,7.7,188
Point Bulli,Bulli,Two-Bedroom House,400,9.3,41
The Blue Whale - Sea View Apartment,Eden,Two-Bedroom Apartment,400,7.7,47
Guest house in Somersby,Somersby,One-Bedroom House,400,N/A,N/A
"The Honey Barn, Wabi-Sabi Cottage Byron Hinterland",Clunes,One-Bedroom House,400,8.8,4
Four Seasons Hotel Sydney,"Sydney CBD, Sydney",Deluxe City King Room,401,9.1,6302
Pet-Friendly Blue Mountains Cottage with Indoor Fireplace,Mount Victoria,Two-Bedroom House,402,8.9,21
Bimbadgen,Rothbury,Family Room,403,8.7,50
Palm Beach Caravan Park,Sanctuary Point,Bungalow,403,4.9,224
Mollymook Seascape Motel and Apartments,Mollymook,Queen Studio,403,8.9,435
Beach Cockatiel Couples Retreat steps to beach,Emerald Beach,One-Bedroom House,403,9.0,1
Beautiful beachside apartment,"Coogee, Sydney",Three-Bedroom Apartment,403,N/A,N/A
The Lane II - Byron Bay,Byron Bay,One-Bedroom Apartment,404,N/A,N/A
One Global Resorts Green Square,"Green Square, Sydney",Studio Apartment,382,8.9,2714
Home sweet home,The Entrance,Three-Bedroom Apartment,405,8.4,8
Beach Hotel Resort,"Main Beach , Byron Bay",Pacific King Suite,406,9.0,569
"Beach Cockatoo 2Bed Steps from Sand, perfect surf getaway",Emerald Beach,Two-Bedroom Townhouse,407,9.3,18
Jasmine Apartment,Forster,Apartment with Balcony,408,8.3,65
Veriu Camperdown,"Camperdown, Sydney",One Bedroom Apartment,410,8.2,418
InterContinental Sydney Double Bay by IHG,"Double Bay, Sydney",Classic Room,411,8.3,671
Blue Lagoon Beach Resort,The Entrance,Two Bedroom Beachfront Cabin,412,8.2,1306
Modern Luxuries Guesthouse,Berowra,One-Bedroom Villa,413,N/A,N/A
Watsons Bay Boutique Hotel,"Watsons Bay, Sydney",King Room,414,8.8,673
Salty Vibes,Mollymook,Two-Bedroom Apartment,414,8.2,11
Pool House Bellingen,Fernmount,One-Bedroom Villa,414,9.6,26
A place to be,Kurmond,Deluxe Double Room with Balcony,415,9.4,82
Spicers Guesthouse,Pokolbin,Piccola King,416,9.0,516
Byron Bay Hotel and Apartments,"Main Beach , Byron Bay",King Room,417,8.2,870
Gosfords Best Location with Views,Gosford,Two-Bedroom Apartment,417,9.6,66
"JezOmi Hideaway - Private, spacious, close to town",Bowral,Two-Bedroom House,418,8.8,8
Country 2 Coast Motor Inn Coffs Harbour,Coffs Harbour,Executive Queen Room (Not Pet-Friendly),419,7.0,3642
Leconfield House,Greta,Double or Twin Room,420,9.7,13
"Comfort, cosy affordable and new relaxing house-3 Bedrooms -Excellent place that suitable for everyone",West Hoxton,Three-Bedroom House,382,8.1,10
Bells Rest with a veiw,Kurrajong,Two-Bedroom House,421,9.7,11
Bluebush Estate,Lovedale,Bluebush Estate - The Cottage,422,8.6,83
2 Bed 2 Bath 1 Car accommodation,"Darlinghurst, Sydney",Two-Bedroom Apartment,423,N/A,N/A
Azur Byron Bay,Byron Bay,Deluxe King Room,424,7.8,524
The Sebel Quay West Suites Sydney,"Sydney CBD, Sydney",One-Bedroom Apartment with City View,425,8.7,2092
QT Sydney,"Sydney CBD, Sydney",QT King Room,425,8.9,2383
The Boathouses at Leaves & Fishes,Lovedale,Villa,426,9.2,17
Woodbine Park Eco Cabin 03,Tura Beach,Two-Bedroom Bungalow,427,N/A,N/A
Woodbine Park Eco Cabin 19,Tura Beach,Two-Bedroom Bungalow,427,N/A,N/A
Woodbine Park Eco Cabin 18,Tura Beach,Two-Bedroom Bungalow,427,N/A,N/A
Woodbine Park Eco Cabin 17,Tura Beach,Two-Bedroom Bungalow,427,8.0,1
Woodbine Park Eco Cabin 12,Tura Beach,Two-Bedroom Bungalow,427,4.0,1
Woodbine Park Eco Cabin 02,Tura Beach,Two-Bedroom Bungalow,427,N/A,N/A
Woodbine Park Eco Cabin 11,Tura Beach,Two-Bedroom Bungalow,427,N/A,N/A
Woodbine Park Eco Cabin 13,Tura Beach,Two-Bedroom Bungalow,427,N/A,N/A
Woodbine Park Eco Cabin 20,Tura Beach,Two-Bedroom Bungalow,427,N/A,N/A
Woodbine Park Eco Cabin 01,Tura Beach,Two-Bedroom Bungalow,427,N/A,N/A
Woodbine Park Eco Cabin 04,Tura Beach,Two-Bedroom Bungalow,427,N/A,N/A
Woodbine Park Eco Cabin 14,Tura Beach,Two-Bedroom Bungalow,427,N/A,N/A
Cooma Guest House,Cooma,Three-Bedroom House,428,9.6,59
Evanslea Luxury Boutique Accommodation,Mudgee,Deluxe Villa - Orchard Cottage,428,9.6,149
Azabu Retreat & Spa,Byron Bay,King Room (Adults Only),428,8.4,738
Tiny Homes,Hartley,Family Room with Mountain View,429,N/A,N/A
H Boutique Hotel,Pokolbin,One-Bedroom Villa,429,8.4,1090
Rydges Newcastle,Newcastle,King Spa Suite with Harbour View,429,8.2,2569
Shangri-La Sydney,"Sydney CBD, Sydney",Deluxe Darling Harbour King,430,8.6,9726
"Coastal Vibes - Walk to beach, Marina, Cafes and Pubs",Shellharbour,Two-Bedroom House,430,9.0,62
The Beach Escape at Towradgi Beach,Towradgi,Apartment with Terrace,430,N/A,N/A
Studio 21,Nelson Bay,Studio,431,6.7,8
"The Sunseeker, Byron Bay",Byron Bay,Standard Room Ground Floor,431,9.3,45
Pretty Pink Queenslander with Spectacular Views!,Tenterfield,Three-Bedroom House,433,9.5,10
Bayswater Boutique Lodge,"Rushcutters Bay, Sydney",Double Room with Shared Bathroom,433,7.7,388
Cygnets,Lake Munmorah,Five-Bedroom House,433,N/A,N/A
Rendezvous Hotel Sydney The Rocks,"Sydney CBD, Sydney",King or Twin Studio,433,8.0,4109
Bondi Junction Bellissima,"Bondi, Sydney",One-Bedroom Apartment,434,9.4,13
Bondi Junction Beauty,"Bondi, Sydney",One-Bedroom Apartment,434,9.6,26
Tomah Retreat - Studio BREATHE with fireplace,Mount Tomah,Deluxe Double Studio,434,9.4,49
Chez Vous Villas Pokolbin,Pokolbin,Holiday Home,434,9.7,11
Alpine Activity Centre,Jindabyne,Three-Bedroom Villa,436,8.8,4
Mangrove Mountain Farm Stay,Mangrove Mountain,Two-Bedroom House,436,N/A,N/A
Aalen Lakeview Suite,Jindabyne,Two-Bedroom Apartment,438,8.0,1
Belmore Cottage - Historic home in Central South,Armidale,Three-Bedroom Villa,439,9.5,2
Coogee Bay Boutique Hotel,"Coogee, Sydney",Boutique District View,439,9.0,503
"Adina Apartment Hotel Sydney, Darling Harbour","Sydney CBD, Sydney",Standard Studio,439,7.7,3900
Sine Cera Rainforest Retreat - The Freeman Suite,Cougal,Two-Bedroom Apartment with Balcony,442,10,1
Lotus Stay Manly - Apartment 31G,"Manly, Sydney",One-Bedroom Apartment,442,9.1,36
Lotus Stay Manly - Apartment 31F,"Manly, Sydney",One-Bedroom Apartment,442,6.9,58
Lotus Stay Manly - Apartment 31C,"Manly, Sydney",One-Bedroom Apartment,442,8.8,35
Lotus Stay Manly - Apartment 31B,"Manly, Sydney",One-Bedroom Apartment,442,5.5,11
99 Acres Bangalow Retreat,Bangalow,Guesthouse Deluxe Queen Room,444,9.5,328
"Wolaroi Villa 1, with Netflix and Disney Plus",Orange,Apartment,444,9.3,3
SKYE Suites Sydney,"Sydney CBD, Sydney",Deluxe Studio Suite,401,8.9,3075
MikaLex - Walking distance from the beach!,Nelson Bay,Two-Bedroom Apartment,446,8.9,53
Quinn's Cottage - Central Armidale,Armidale,Three-Bedroom House,446,9.5,20
Spicers Potts Point,"Potts Point, Sydney",Queen Room,446,9.4,330
Bubble Hotel,Coonabarabran,Tent,447,9.0,1
The 2 Bedroom Hurstville Haven,Sydney,Two-Bedroom Apartment,447,6.5,2
Anchorage Port Stephens,Nelson Bay,Anchorage Partial View Room,449,9.0,1092
A by Adina Sydney,"Sydney CBD, Sydney",Studio King,450,8.7,5176
Hillview Farmstay,Gundagai,Deluxe Family Loft Cottage,450,8.9,359
Villa Provence,Pokolbin,Deluxe Queen Suite,450,7.6,129
"Somerby! Modern Character Property! Cbd,Pets,Park",Albury,Three-Bedroom House,450,8.6,107
Mentor Chambers Apartment Bed & Breakfast,West Wyalong,Apartment,450,8.1,200
Ponde,Iluka,Three-Bedroom Townhouse,450,9.3,3
Palm Cottage Avalon Beach,Avalon,Two-Bedroom Apartment,450,9.7,23
Peace Resorts - Jervis Bay Holiday Cabins in Sussex Inlet,Sussex inlet,Two-Bedroom Cabin 3-4,450,7.4,175
Selah Valley Estate,Limpinwood,One-Bedroom Suite,450,9.5,42
Chãteau - By Naz Residences,"Surry Hills, Sydney",Two-Bedroom House,450,N/A,N/A
SOHO On the Beach Towradgi,Towradgi,One-Bedroom Apartment,452,8.3,15
Saltwater Creek - The Birds Nest,Bundannon,Studio,452,N/A,N/A
Marulan Rural Getaway - Work Yard,Marulan,One-Bedroom House,453,N/A,N/A
Galloping Grounds,Glenorie,Two-Bedroom House,454,N/A,N/A
Nelson Bay home on the beach!!,Nelson Bay,Three-Bedroom House,454,9.0,15
Bega Motel,Bega,Deluxe King Room with Kitchenette,454,8.0,1046
Feels like home,Berkeley Vale,Four-Bedroom House,454,7.1,8
The Historic Old Pharmacy Hockeys - Millthorpe,Millthorpe,Studio,455,9.1,38
"The Barracks, Tocal",Paterson,Deluxe Suite,455,8.9,38
"Mala Retreat, Shiraz Suite 5 Star Immaculate and Comfortable",East Maitland,Double Room with Private Bathroom,455,9.8,19
Cottage on Lords,Orange,Three-Bedroom House,456,8.5,75
Ella's Beach Haven,Batehaven,Two-Bedroom Apartment,456,8.9,19
"The Old Clare Hotel, Independent Collection by EVT","Sydney CBD, Sydney",King Room - Connell,459,8.4,982
Harbour Rocks Hotel Sydney,"Sydney CBD, Sydney",Heritage Queen Room,459,8.1,1428
Coast Resort Merimbula,Merimbula,One-Bedroom Apartment - Concourse,459,8.8,411
Sip and Dip - Woonona,Woonona,One-Bedroom Apartment,460,8.3,3
Walk To Shopping & University Premium Apartment,Sydney,Two-Bedroom Apartment,460,N/A,N/A
Lakeside Dreaming Wifi Netflix Full Air Con,Forster,Two-Bedroom Apartment,461,8.3,6
Zara Tower – Luxury Suites and Apartments,"Sydney CBD, Sydney",Sky Room,462,9.0,2078
Echoes Boutique Hotel & Restaurant Blue Mountains,Katoomba,Deluxe Double Room with Valley View,463,8.5,260
Lake Escape,Belmont,Three-Bedroom House,464,10,1
Watta Cottage,Wattamolla,Holiday Home,464,7.7,7
Bay and Bush Jervis Bay,Huskisson,Honeymoon Cottage,465,9.3,134
Waters Edge Apartments,Warners Bay,Three-Bedroom Apartment,467,8.0,33
Windsors Edge Cottage Pokolbin,Rothbury,Two-Bedroom House,467,6.8,15
Echoes in the Valley,Ingoldsby,Tent,20,N/A,N/A
echoes in the valley,Ingoldsby,Tent,23,N/A,N/A
Mission Beach Retreat,Mission Beach,Camper Van,35,7.4,224
Palm Hamilton Backpacker,"Hamilton, Brisbane",4-Bed Female Dormitory Room,45,3.6,68
Yandina Caravan Park,Yandina,Grass Powered Site for Tent or Caravan,49,7.7,503
Royal Carrangarra Hotel,Tambo,Double Room with Shared Bathroom,59,7.4,98
Gonow Family Backpackers Hostel,"West End, Brisbane",Bed in 8-Bed Mixed Dormitory Room,60,4.8,998
PK's Jungle Village,Cape Tribulation,Budget Double Room,60,6.6,708
Linga Longa Spiritual Glamping Retreat,Curra,Tent,65,7.6,5
Mango tourist Hostel,"Scarness, Hervey Bay",Budget Double Room,68,7.0,316
Civic Guesthouse,Townsville,Double Room with Shared Bathroom,69,8.1,1573
Mercedes Sprinter,Buddina,One-Bedroom Apartment,71,N/A,N/A
NRMA Cairns Holiday Park,Cairns,Lodge,75,8.0,835
Cairns City Backpackers Hostel,Cairns,Double Room with Shared Bathroom,75,7.2,538
Commercial Hotel,Clermont,Budget Double Room,77,7.8,53
Habitat Backpackers,"Brisbane CBD, Brisbane",Bed in 14-Bed Female Dormitory Room,78,6.8,174
Gladstone Palms Motor Inn,Gladstone,Deluxe Queen Room,80,6.3,1107
Beach accommodation with Shared facilities,Emu Park,Deluxe Double Room,80,9.0,2
Hotel Metropole Proserpine,Proserpine,Quadruple Room with Shared Bathroom,81,5.6,9
On The Wallaby Lodge,Yungaburra,Budget Double Room,82,8.7,345
Brisbane Manor,"Fortitude Valley, Brisbane",Basic Double Room with Shared Bathroom,85,6.7,2499
Woolshed Eco Lodge,"Scarness, Hervey Bay",Budget Twin Room,85,7.6,760
The Met Hotel,Toowoomba,Double Room,85,6.1,811
Gateway at heart of Mount Gravatt,Brisbane,Family Room with Private Bathroom,86,9.6,7
Gilligan's Hotel & Resort Cairns,Cairns,Single Bed in Standard 8 Bed Mixed Ensuite Dormitory (Clubside),86,7.7,2181
Meyenburg House,Mount Morgan,Budget Double Room,87,7.4,9
Hotel Thangool,Thangool,Queen Room with Shared Bathroom,88,9.0,2
Bounce Cairns,Cairns,Bed in 10-Bed Mixed Dormitory Room,89,7.6,800
Scotty's Mission Beach,Mission Beach,Double Room with Private Bathroom,89,7.1,161
Tarzali Boho Villa,Tarzali,Deluxe Double Room with Balcony,89,8.0,2
The Dulacca Hotel,Dulacca,Queen Room,90,7.6,34
Nobby Beach Holiday Village,"Mermaid Waters, Gold Coast",Standard Powered Site with Shared Bathroom - Bring Your Own Caravan or Tent,90,8.0,1071
Bungalow Hotel,Cairns,King Room,90,6.8,358
GOLDEN LACE B&B,Sarina,Standard Double Room,90,9.7,330
Amber Lodge Motel,Gladstone,Twin Room,90,8.5,408
Biloela Hotel,Biloela,Double Room with Shared Bathroom,90,7.5,424
Harbour Lights Tourist Park,Bowen,Standard Double Room with Shared Bathroom,90,7.7,364
Capella Hotel Motel,Capella,Budget Double Room,90,7.9,74
The Village Cairns,Cairns,Bed in 8 Bed Female Dormitory Room,90,7.9,1448
Emu Park Beach Motel,Emu Park,Deluxe Double or Twin Room with Balcony,92,N/A,N/A
St George Hotel Motel,Saint George,Double or Twin Room with Private Bathroom,92,5.5,89
Gladstone Backpackers,Gladstone,Bed in 4-Bed Female Dormitory Room,92,7.1,213
Hope Harbour Hotel,"Hope Island, Gold Coast",Standard 2 Queen Beds,92,6.1,2129
Toobeah hotel/motel,Toobeah,Budget Twin Room,93,6.8,21
Upper Ross Hotel,Townsville,Economy Double Room with Shared Bathroom,93,7.5,135
OXFORD HOTEL MOTEL,Cunnamulla,Deluxe Double Room,94,6.4,92
The Espy Hostel,Cairns,Bed in 4-Bed Mixed Dormitory Room,94,7.2,297
The Jack Backpackers,Cairns,Budget Twin Room,94,7.3,1710
Private Bedroom Getaway,Rosslea,Double Room with Private Bathroom,95,10,6
Country View Motel Ilbilbie,Ilbilbie,Queen Room,95,7.3,189
CStay,Picnic Bay,Standard Double Room with Shared Bathroom,95,7.6,366
Mycow Accommodation Mackay,Mackay,Deluxe Double Studio,95,6.8,70
Horseshoe Bay Resort,Bowen,Cabin Vans with Shared Bathroom,95,8.1,391
Criterion Warwick Hotel,Warwick,Double Room with Shared Bathroom,98,6.0,24
KampKulcha,North Stradbroke Island,Tent,98,9.0,2
Kingsford Riverside Inn,"Hamilton, Brisbane",Budget Double Room - No air conditioning,99,4.9,1478
CALI Backpackers,Caloundra,Bed in 6-Bed Mixed Dormitory Room,99,7.2,333
Cooktown Motel,Cooktown,Double Room with Shared Bathroom,100,7.0,277
Blackwater Hotel Motel,Blackwater,Villa,100,7.0,142
Rocky Glen Hotel Motel Gladstone,Gladstone,Double Room with Extra Bed,100,7.1,396
Sonnys Piece Of Paradise,Agnes Water,The Cottage,100,8.9,196
Avenues Xchange,Aitkenvale,Queen Room,100,9.0,21
Tequila Sunrise Podstel,"Surfers Paradise, Gold Coast",Deluxe Pod in shared dorm,100,8.4,338
Criterion Hotel-Motel Rockhampton,Rockhampton,Double Room with Shared Toilet,101,7.6,1039
Discovery Parks - Townsville,Townsville,Economy Studio Room - Queen (No Ensuite),101,7.9,905
Kookaburra Holiday Park,Cardwell,Budget Double Room,101,6.3,384
Royal Gatton Hotel,Gatton,Economy Double Room with Shared Bathroom,101,7.2,225
Sommerville Valley Tourist Park & Resort,Stanthorpe,Deluxe Double Studio,102,9.0,36
Exchange Hotel Toogoolawah,Toogoolawah,Double Room with Balcony,102,8.4,322
Gin Gin Budget Accommodation,Gin Gin,Queen Room,102,7.5,283
Mad Monkey Central,Cairns,Twin Room,103,7.6,626
Brisbane Quarters,"Spring Hill, Brisbane",Bed in 10-Bed Mixed Dormitory Room,104,8.4,3716
GRAND CENTRAL HOTEL PROSERPINE,Proserpine,Queen Room with Shared Bathroom,104,5.8,32
Comfortable studio in Bowen 4805,Bowen,One-Bedroom Apartment,104,9.5,2
1770 Eco Camp,Agnes Water,Double Room,104,7.8,58
Urangan Motor Inn,"Urangan, Hervey Bay",Standard Double Room,104,6.9,1888
Cool Bananas Backpackers,Agnes Water,Budget Double Room,105,7.7,332
YHA Cairns Central,Cairns,Double Room with Shared Bathroom,105,7.9,2418
Sun Plaza Motel - Mackay,Mackay,Budget Double Room,105,7.1,890
Central Tourist Park,Mackay,Comfort Double Room,105,6.4,537
The Prince of Wales,Proserpine,Queen Room with Shared Bathroom,105,6.1,259
Harbour Lodge Motel,Gladstone,Standard Studio,105,8.2,364
cliffinn kangaroo point,"Kangaroo Point, Brisbane",Double Room,107,4.6,197
K2 Brisbane,"Spring Hill, Brisbane",Double Room With Shared Bathroom/Shower & Kitchen,108,8.2,411
Coral Sands Motel,Mackay,Economy Queen Room,108,8.0,1044
Tony and Jennys,Capalaba,One-Bedroom Apartment,108,N/A,N/A
The Pier Pods on the water- 50m from Townsville bus terminal and ferry terminal,Townsville,Queen Capsule Pod with water view,108,8.8,179
Mid City Motor Inn,Gladstone,Studio,109,4.3,454
Jackaroo Treehouse Rainforest Retreat,Mission Beach,Deluxe Double Room,109,8.4,389
Bororen Hotel Motel,Bororen,Standard Double Room,109,8.6,360
Elysium Retreat & Stays,Bondoola,Double Room with Garden View,109,6.8,4
Motel Lodge,Rockhampton,Queen Room,110,4.3,838
Cairns Queens Court,Cairns,Budget Double Room with Shared Bathroom - Unserviced,110,7.3,3661
Motel Mt Gravatt,Brisbane,Superior Triple Room,110,7.5,316
Backpackers In Paradise 18-35 Hostel,"Surfers Paradise, Gold Coast",Double Room with Shared Bathroom,110,6.4,2375
Kalua Motel,Bundaberg,Economy Double Room,110,7.2,478
The Australian Hotel Murgon,Murgon,Triple Room,110,7.1,179
Hervey Bay Flashpackers,"Scarness, Hervey Bay",Budget Double Room,110,7.3,1233
Bushchooks Travellers Village,Bororen,Double Room,110,8.8,174
Balonne River Motor Inn,Saint George,Budget Double Room,110,7.3,809
Emu Park Beach Resort,Emu Park,Deluxe Double or Twin Room with Balcony,112,7.8,37
True Blue Motor Inn,Rockhampton,Standard Double Room - No Pets,113,7.2,1201
Home away from home,Peregian Beach,Double Room,113,9.0,18
Private room,"Southport, Gold Coast",Double Room with Patio,113,3.5,2
Close to the city,Brisbane,Double Room with Balcony,113,4.5,2
Chinchilla Motor Inn,Chinchilla,Standard Villa,113,8.5,514
Tequila Sunrise Hostel,"Surfers Paradise, Gold Coast",Deluxe Pod in Shared Dorm,113,8.7,2663
Vale Hotel,Townsville,Queen Studio,114,7.5,1089
Grand Hotel Motel,Clermont,Standard Queen Room,114,7.1,251
Miriam Vale Motel,Miriam Vale,Budget Double Room,115,7.6,456
Miles Outback Motel,Miles,Superior Queen Room,115,8.1,553
Charters Towers Motel,Charters Towers,Twin Room,115,8.8,1102
Heritage Hotel Rockhampton,Rockhampton,Twin Room with Shared Bathroom,109,7.1,749
SEA-esta,Nelly Bay,Apartment,115,8.5,274
Merinda Village Hotel,Bowen,Standard Double Room,115,6.9,24
Park View Motel,Gladstone,Queen Room,115,7.2,239
Queensland Hotel,Goondiwindi,Queen Room with Shared Bathroom,115,8.0,50
Tandara Hotel Motel,Sarina,Standard Double Room,116,7.7,506
Park Regis Anchorage,Townsville,Standard Double or Twin Room,116,7.9,1368
Happy Jacks Cabins and Offices,Cloncurry,Studio,116,8.2,5
Trinity Islands Holiday Park - Cabin Accommodation,Burrum Heads,Studio with Lake View,117,9.1,46
The Club Hotel,Gladstone,Twin Room,117,8.0,155
Wallace Motel And Caravan Park,Maryborough,Deluxe Double Room with Shower,117,8.0,320
Cloncurry Caravan Park Oasis,Cloncurry,Double or Twin Room with Bathroom,117,N/A,N/A
Meanttobe,Agnes Water,Economy Double or Twin Room,117,9.0,1
Motel Sunshine Coast,"Golden Beach, Caloundra",Basic Triple Room with Shared Bathroom,118,8.0,1266
Rambutan Resort,Townsville,Queen Room,118,8.2,2798
Cardwell Beachcomber Motel & Tourist Park,Cardwell,Budget Parkview Room - Pet Friendly,118,8.2,585
Airlie Beach Magnums - Adults Only,Airlie Beach,Double Room with Shared Bathroom - Adults Only,119,8.1,3677
YHA Coolangatta Gold Coast,"Bilinga, Gold Coast",Double Room with Shared Bathroom,119,7.9,1972
White Lace Motor Inn,Mackay,Standard Twin,119,7.4,1292
Hampton Villa Motel,Rockhampton,Deluxe King Room,119,7.7,1312
Cosmopolitan Motel & Serviced Apartments,Rockhampton,Standard Queen Room,119,6.5,838
Ned Kelly's Motel,Maryborough,Compact Queen Van Room,120,7.4,717
Wondai Accommodation Units And Villas,Wondai,Deluxe Double or Twin Room,120,8.2,512
Injune Motel,Injune,Budget Double Room,120,8.0,176
Maleny Hotel,Maleny,Queen Room with Shared Bathroom,120,7.8,600
Original North Australian,Bowen,Queen Room,120,8.1,180
Chinchilla Motel,Chinchilla,Queen Room,120,8.3,180
